"Classification"	"Sample"	"percentage"
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"CONTROL3"	0
"Actinobacteria"	"CONTROL4"	0.016
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"CONTROL4"	0.194
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"CONTROL4"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"CONTROL4"	0.085
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"CONTROL4"	0.014
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"CONTROL4"	0.111
"Alphaproteobacteria"	"CONTROL4"	0.022
"Bacilli"	"CONTROL4"	0.015
"Bacteroidia"	"CONTROL4"	0.004
"Betaproteobacteria"	"CONTROL4"	0.075
"Clostridia"	"CONTROL4"	0.013
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"CONTROL4"	0.258
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"CONTROL4"	0.027
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"CONTROL4"	0.069
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"CONTROL4"	0.013
"Flavobacteria"	"CONTROL4"	0.002
"Fusobacteria"	"CONTROL4"	0.001
"Gammaproteobacteria"	"CONTROL4"	0
"Negativicutes"	"CONTROL4"	0
"Other"	"CONTROL4"	0.008
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"CONTROL4"	0.006
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"CONTROL4"	0.003
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"CONTROL4"	0
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"CONTROL4"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"CONTROL4"	0.021
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"CONTROL4"	0.043
"Actinobacteria"	"CONTROL5"	0.032
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"CONTROL5"	0.066
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"CONTROL5"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"CONTROL5"	0.003
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"CONTROL5"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"CONTROL5"	0.704
"Alphaproteobacteria"	"CONTROL5"	0.003
"Bacilli"	"CONTROL5"	0.094
"Bacteroidia"	"CONTROL5"	0.003
"Betaproteobacteria"	"CONTROL5"	0.017
"Clostridia"	"CONTROL5"	0.005
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"CONTROL5"	0.027
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"CONTROL5"	0
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"CONTROL5"	0.033
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"CONTROL5"	0.003
"Flavobacteria"	"CONTROL5"	0.002
"Fusobacteria"	"CONTROL5"	0.003
"Gammaproteobacteria"	"CONTROL5"	0
"Negativicutes"	"CONTROL5"	0.004
"Other"	"CONTROL5"	0.001
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"CONTROL5"	0
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"CONTROL5"	0
