"Classification"	"Sample"	"percentage"
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"DISEASE3"	0.047
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"DISEASE3"	0.022
"Actinobacteria"	"DISEASE4"	0.047
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"DISEASE4"	0.042
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"DISEASE4"	0.017
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"DISEASE4"	0.023
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"DISEASE4"	0.071
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"DISEASE4"	0.204
"Alphaproteobacteria"	"DISEASE4"	0.032
"Bacilli"	"DISEASE4"	0.045
"Bacteroidia"	"DISEASE4"	0.007
"Betaproteobacteria"	"DISEASE4"	0.017
"Clostridia"	"DISEASE4"	0.019
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"DISEASE4"	0.171
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"DISEASE4"	0.016
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"DISEASE4"	0.084
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"DISEASE4"	0.004
"Flavobacteria"	"DISEASE4"	0.003
"Fusobacteria"	"DISEASE4"	0.002
"Gammaproteobacteria"	"DISEASE4"	0.012
"Negativicutes"	"DISEASE4"	0
"Other"	"DISEASE4"	0.012
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"DISEASE4"	0.047
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"DISEASE4"	0.021
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"DISEASE4"	0.006
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"DISEASE4"	0.096
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"DISEASE4"	0.002
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"DISEASE4"	0
"Actinobacteria"	"DISEASE5"	0.028
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"DISEASE5"	0.015
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"DISEASE5"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"DISEASE5"	0.008
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"DISEASE5"	0.021
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"DISEASE5"	0.021
"Alphaproteobacteria"	"DISEASE5"	0.017
"Bacilli"	"DISEASE5"	0.081
"Bacteroidia"	"DISEASE5"	0.004
"Betaproteobacteria"	"DISEASE5"	0.003
"Clostridia"	"DISEASE5"	0.005
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"DISEASE5"	0.476
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"DISEASE5"	0.033
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"DISEASE5"	0.217
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"DISEASE5"	0.001
"Flavobacteria"	"DISEASE5"	0
"Fusobacteria"	"DISEASE5"	0
"Gammaproteobacteria"	"DISEASE5"	0.012
"Negativicutes"	"DISEASE5"	0
"Other"	"DISEASE5"	0.011
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"DISEASE5"	0.016
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"DISEASE5"	0.016
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"DISEASE5"	0.004
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"DISEASE5"	0.011
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"DISEASE5"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"DISEASE5"	0
"Actinobacteria"	"DISEASE6"	0.022
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"DISEASE6"	0.037
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"DISEASE6"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"DISEASE6"	0.001
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"DISEASE6"	0.015
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"DISEASE6"	0.005
"Alphaproteobacteria"	"DISEASE6"	0.007
"Bacilli"	"DISEASE6"	0.008
"Bacteroidia"	"DISEASE6"	0.005
"Betaproteobacteria"	"DISEASE6"	0
"Clostridia"	"DISEASE6"	0.001
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"DISEASE6"	0.804
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"DISEASE6"	0.002
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"DISEASE6"	0.052
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"DISEASE6"	0.001
"Flavobacteria"	"DISEASE6"	0.006
"Fusobacteria"	"DISEASE6"	0.004
"Gammaproteobacteria"	"DISEASE6"	0.004
"Negativicutes"	"DISEASE6"	0
"Other"	"DISEASE6"	0.002
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"DISEASE6"	0.014
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"DISEASE6"	0.002
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"DISEASE6"	0.004
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"DISEASE6"	0.004
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"DISEASE6"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"DISEASE6"	0
"Actinobacteria"	"DISEASE7"	0.084
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"DISEASE7"	0.04
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"DISEASE7"	0.033
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"DISEASE7"	0.015
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"DISEASE7"	0.052
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"DISEASE7"	0.043
"Alphaproteobacteria"	"DISEASE7"	0.052
"Bacilli"	"DISEASE7"	0.025
"Bacteroidia"	"DISEASE7"	0.005
"Betaproteobacteria"	"DISEASE7"	0.008
"Clostridia"	"DISEASE7"	0.012
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"DISEASE7"	0.379
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"DISEASE7"	0.031
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"DISEASE7"	0.027
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"DISEASE7"	0.003
"Flavobacteria"	"DISEASE7"	0.007
"Fusobacteria"	"DISEASE7"	0.001
"Gammaproteobacteria"	"DISEASE7"	0.023
"Negativicutes"	"DISEASE7"	0.003
"Other"	"DISEASE7"	0.017
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"DISEASE7"	0.014
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"DISEASE7"	0.054
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"DISEASE7"	0.02
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"DISEASE7"	0.052
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"DISEASE7"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"DISEASE7"	0
"Actinobacteria"	"DISEASE8"	0.031
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"DISEASE8"	0.029
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"DISEASE8"	0.023
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"DISEASE8"	0.013
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"DISEASE8"	0.046
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"DISEASE8"	0.049
"Alphaproteobacteria"	"DISEASE8"	0.048
"Bacilli"	"DISEASE8"	0.06
"Bacteroidia"	"DISEASE8"	0.01
"Betaproteobacteria"	"DISEASE8"	0.008
"Clostridia"	"DISEASE8"	0.005
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"DISEASE8"	0.192
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"DISEASE8"	0.181
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"DISEASE8"	0.133
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"DISEASE8"	0.001
"Flavobacteria"	"DISEASE8"	0.005
"Fusobacteria"	"DISEASE8"	0
"Gammaproteobacteria"	"DISEASE8"	0.013
"Negativicutes"	"DISEASE8"	0.001
"Other"	"DISEASE8"	0.007
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"DISEASE8"	0.037
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"DISEASE8"	0.056
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"DISEASE8"	0.01
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"DISEASE8"	0.042
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"DISEASE8"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"DISEASE8"	0
"Actinobacteria"	"DISEASE9"	0.034
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"DISEASE9"	0.05
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"DISEASE9"	0.245
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"DISEASE9"	0.003
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"DISEASE9"	0.092
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"DISEASE9"	0.07
"Alphaproteobacteria"	"DISEASE9"	0.037
"Bacilli"	"DISEASE9"	0.017
"Bacteroidia"	"DISEASE9"	0.006
"Betaproteobacteria"	"DISEASE9"	0.003
"Clostridia"	"DISEASE9"	0.004
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"DISEASE9"	0.106
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"DISEASE9"	0.041
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"DISEASE9"	0.031
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"DISEASE9"	0.011
"Flavobacteria"	"DISEASE9"	0.001
"Fusobacteria"	"DISEASE9"	0.001
"Gammaproteobacteria"	"DISEASE9"	0.018
"Negativicutes"	"DISEASE9"	0.003
"Other"	"DISEASE9"	0.002
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"DISEASE9"	0.016
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"DISEASE9"	0.04
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"DISEASE9"	0.124
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"DISEASE9"	0.044
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"DISEASE9"	0.001
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"DISEASE9"	0
"Actinobacteria"	"DISEASE10"	0.008
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"DISEASE10"	0.37
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"DISEASE10"	0.023
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"DISEASE10"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"DISEASE10"	0.034
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"DISEASE10"	0.013
"Alphaproteobacteria"	"DISEASE10"	0.006
"Bacilli"	"DISEASE10"	0.019
"Bacteroidia"	"DISEASE10"	0.011
"Betaproteobacteria"	"DISEASE10"	0.012
"Clostridia"	"DISEASE10"	0.001
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"DISEASE10"	0.222
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"DISEASE10"	0.006
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"DISEASE10"	0.074
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"DISEASE10"	0.011
"Flavobacteria"	"DISEASE10"	0.002
"Fusobacteria"	"DISEASE10"	0.003
"Gammaproteobacteria"	"DISEASE10"	0.007
"Negativicutes"	"DISEASE10"	0
"Other"	"DISEASE10"	0.008
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"DISEASE10"	0.002
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"DISEASE10"	0.001
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"DISEASE10"	0.128
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"DISEASE10"	0.039
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"DISEASE10"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"DISEASE10"	0
