taxon taxlevel rankID taxon daughterlevels total CONTROL1 CONTROL2 CONTROL3 CONTROL4 CONTROL5 CONTROL6 CONTROL7 CONTROL8 CONTROL9 CONTROL10 DISEASE1 DISEASE2 DISEASE3 DISEASE4 DISEASE5 DISEASE6 DISEASE7 DISEASE8 DISEASE9 DISEASE10
Acidobacteria;Acidobacteria_Gp17;Acidobacteria_Gp17_order_incertae_sedis;Acidobacteria_Gp17_family_incertae_sedis 5 0.1.1.6.1.1 Acidobacteria_Gp17_family_incertae_sedis 1 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp17;Acidobacteria_Gp17_order_incertae_sedis;Acidobacteria_Gp17_family_incertae_sedis;Gp17 6 0.1.1.6.1.1.1 Gp17 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp2 3 0.1.1.7 Acidobacteria_Gp2 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp2;Acidobacteria_Gp2_order_incertae_sedis 4 0.1.1.7.1 Acidobacteria_Gp2_order_incertae_sedis 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp2;Acidobacteria_Gp2_order_incertae_sedis;Acidobacteria_Gp2_family_incertae_sedis 5 0.1.1.7.1.1 Acidobacteria_Gp2_family_incertae_sedis 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp2;Acidobacteria_Gp2_order_incertae_sedis;Acidobacteria_Gp2_family_incertae_sedis;Gp2 6 0.1.1.7.1.1.1 Gp2 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp22 3 0.1.1.8 Acidobacteria_Gp22 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp22;Acidobacteria_Gp22_order_incertae_sedis 4 0.1.1.8.1 Acidobacteria_Gp22_order_incertae_sedis 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp22;Acidobacteria_Gp22_order_incertae_sedis;Acidobacteria_Gp22_family_incertae_sedis 5 0.1.1.8.1.1 Acidobacteria_Gp22_family_incertae_sedis 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp22;Acidobacteria_Gp22_order_incertae_sedis;Acidobacteria_Gp22_family_incertae_sedis;Gp22 6 0.1.1.8.1.1.1 Gp22 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp3 3 0.1.1.9 Acidobacteria_Gp3 1 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp3;Acidobacteria_Gp3_order_incertae_sedis 4 0.1.1.9.1 Acidobacteria_Gp3_order_incertae_sedis 1 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp3;Acidobacteria_Gp3_order_incertae_sedis;Acidobacteria_Gp3_family_incertae_sedis 5 0.1.1.9.1.1 Acidobacteria_Gp3_family_incertae_sedis 1 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp3;Acidobacteria_Gp3_order_incertae_sedis;Acidobacteria_Gp3_family_incertae_sedis;Gp3 6 0.1.1.9.1.1.1 Gp3 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp4 3 0.1.1.10 Acidobacteria_Gp4 1 141 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 0 3 1 0 0
Acidobacteria;Acidobacteria_Gp4;Acidobacteria_Gp4_order_incertae_sedis 4 0.1.1.10.1 Acidobacteria_Gp4_order_incertae_sedis 1 141 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 0 3 1 0 0
Acidobacteria;Acidobacteria_Gp4;Acidobacteria_Gp4_order_incertae_sedis;Acidobacteria_Gp4_family_incertae_sedis 5 0.1.1.10.1.1 Acidobacteria_Gp4_family_incertae_sedis 1 141 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 0 3 1 0 0
Acidobacteria;Acidobacteria_Gp4;Acidobacteria_Gp4_order_incertae_sedis;Acidobacteria_Gp4_family_incertae_sedis;Gp4 6 0.1.1.10.1.1.1 Gp4 0 141 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 0 3 1 0 0
Acidobacteria;Acidobacteria_Gp5 3 0.1.1.11 Acidobacteria_Gp5 1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
Acidobacteria;Acidobacteria_Gp5;Acidobacteria_Gp5_order_incertae_sedis 4 0.1.1.11.1 Acidobacteria_Gp5_order_incertae_sedis 1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
Acidobacteria;Acidobacteria_Gp5;Acidobacteria_Gp5_order_incertae_sedis;Acidobacteria_Gp5_family_incertae_sedis 5 0.1.1.11.1.1 Acidobacteria_Gp5_family_incertae_sedis 1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
Acidobacteria;Acidobacteria_Gp5;Acidobacteria_Gp5_order_incertae_sedis;Acidobacteria_Gp5_family_incertae_sedis;Gp5 6 0.1.1.11.1.1.1 Gp5 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
Acidobacteria;Acidobacteria_Gp6 3 0.1.1.12 Acidobacteria_Gp6 1 199 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1
Acidobacteria;Acidobacteria_Gp6;Acidobacteria_Gp6_order_incertae_sedis 4 0.1.1.12.1 Acidobacteria_Gp6_order_incertae_sedis 1 199 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1
Acidobacteria;Acidobacteria_Gp6;Acidobacteria_Gp6_order_incertae_sedis;Acidobacteria_Gp6_family_incertae_sedis 5 0.1.1.12.1.1 Acidobacteria_Gp6_family_incertae_sedis 1 199 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1
Acidobacteria;Acidobacteria_Gp6;Acidobacteria_Gp6_order_incertae_sedis;Acidobacteria_Gp6_family_incertae_sedis;Gp6 6 0.1.1.12.1.1.1 Gp6 0 199 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1
Acidobacteria;Acidobacteria_Gp7 3 0.1.1.13 Acidobacteria_Gp7 1 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp7;Acidobacteria_Gp7_order_incertae_sedis 4 0.1.1.13.1 Acidobacteria_Gp7_order_incertae_sedis 1 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp7;Acidobacteria_Gp7_order_incertae_sedis;Acidobacteria_Gp7_family_incertae_sedis 5 0.1.1.13.1.1 Acidobacteria_Gp7_family_incertae_sedis 1 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp7;Acidobacteria_Gp7_order_incertae_sedis;Acidobacteria_Gp7_family_incertae_sedis;Gp7 6 0.1.1.13.1.1.1 Gp7 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Holophagae 3 0.1.1.14 Holophagae 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Holophagae;Holophagales 4 0.1.1.14.1 Holophagales 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Holophagae;Holophagales;Holophagaceae 5 0.1.1.14.1.1 Holophagaceae 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix 6 0.1.1.14.1.1.1 Geothrix 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria 2 0.1.2 Actinobacteria 1 244758 915 779 925 420 805 441 964 838 519 873 230 346 240 404 93 80 267 191 494 448
Actinobacteria;Actinobacteria 3 0.1.2.1 Actinobacteria 9 244758 915 779 925 420 805 441 964 838 519 873 230 346 240 404 93 80 267 191 494 448
Actinobacteria;Actinobacteria;Acidimicrobiales 4 0.1.2.1.1 Acidimicrobiales 4 190 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobineae_incertae_sedis 5 0.1.2.1.1.1 Acidimicrobineae_incertae_sedis 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobineae_incertae_sedis;Aciditerrimonas 6 0.1.2.1.1.1.1 Aciditerrimonas 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae 5 0.1.2.1.1.2 Acidimicrobiaceae 2 81 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter 6 0.1.2.1.1.2.1 Ilumatobacter 0 66 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae;unclassified 6 0.1.2.1.1.2.2 unclassified 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
Actinobacteria;Actinobacteria;Acidimicrobiales;Iamiaceae 5 0.1.2.1.1.3 Iamiaceae 1 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Acidimicrobiales;Iamiaceae;Iamia 6 0.1.2.1.1.3.1 Iamia 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Acidimicrobiales;unclassified 5 0.1.2.1.1.4 unclassified 1 78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Acidimicrobiales;unclassified;unclassified 6 0.1.2.1.1.4.1 unclassified 0 78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales 4 0.1.2.1.2 Actinomycetales 36 243376 915 779 925 419 805 438 964 837 519 873 228 342 234 404 93 76 261 190 494 448
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae 5 0.1.2.1.2.1 Actinomycetaceae 7 7319 1 5 0 6 5 27 0 17 0 0 17 3 5 13 3 7 26 4 6 3
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinobaculum 6 0.1.2.1.2.1.1 Actinobaculum 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces 6 0.1.2.1.2.1.2 Actinomyces 0 6861 1 5 0 6 5 27 0 17 0 0 17 3 4 13 3 7 26 4 6 3
